"","Sample","GENE","%COVERAGE","%IDENTITY","ACCESSION","PRODUCT"
"129","SRR27013314_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","gtcA","99.54","80.68","NP_466072","(gtcA) wall teichoic acid glycosylation protein GtcA [GtcA (VF0448)] [Listeria monocytogenes EGD-e]"
"130","SRR27013314_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","clpP","100","96.82","NP_465991","(clpP) ATP-dependent Clp protease proteolytic subunit [ClpP (VF0074)] [Listeria monocytogenes EGD-e]"
"131","SRR27013314_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","oatA","100","93.48","NP_464816","(oatA) peptidoglycan O-acetyltransferase [OatA (VF0441)] [Listeria monocytogenes EGD-e]"
"132","SRR27013314_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","inlK","100","89.18","NP_464815","(inlK) internalin K [InlK (VF0439)] [Listeria monocytogenes EGD-e]"
"133","SRR27013314_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","prfA","100","97.48","NP_463731","(prfA) listeriolysin positive regulatory protein [PrfA (VF0062)] [Listeria monocytogenes EGD-e]"
"134","SRR27013314_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","plcA","100","97.48","NP_463732","(plcA) phosphatidylinositol-specific phospholipase c [PlcA (VF0063)] [Listeria monocytogenes EGD-e]"
"135","SRR27013314_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","hly","100","97.23","NP_463733","(hly) listeriolysin O precursor [LLO (VF0064)] [Listeria monocytogenes EGD-e]"
"136","SRR27013314_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","mpl","100","94.85","NP_463734","(mpl) Zinc metalloproteinase precursor [Mpl (VF0065)] [Listeria monocytogenes EGD-e]"
"137","SRR27013314_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","actA","99.9","94.16","NP_463735","(actA) actin-assembly inducing protein precursor [ActA (VF0066)] [Listeria monocytogenes EGD-e]"
"138","SRR27013314_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","plcB","99.89","95.51","NP_463736","(plcB) phospholipase C [PlcB (VF0067)] [Listeria monocytogenes EGD-e]"
"139","SRR27013314_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","pdgA","100","97","NP_463944","(pdgA) Peptidoglycan N-deacetylase [PgdA (VF0442)] [Listeria monocytogenes EGD-e]"
"140","SRR27013314_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","inlF","99.96","80.95","NP_463939","(inlF) internalin F [InlF (VF0447)] [Listeria monocytogenes EGD-e]"
"141","SRR27013314_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","vip","100","85.36","NP_463850","(vip) surface adhesin Vip [Vip (VF0443)] [Listeria monocytogenes EGD-e]"
"142","SRR27013315_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","clpC","100","94.28","NP_463763","(clpC) endopeptidase Clp ATP-binding chain C [ClpC (VF0072)] [Listeria monocytogenes EGD-e]"
"143","SRR27013315_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","bsh","100","97.55","NP_465591","(bsh) bile salt hydrolase [BSH (VF0350)] [Listeria monocytogenes EGD-e]"
"144","SRR27013315_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","iap/cwhA","97.1","94.42","NP_464110","(iap/cwhA) P60 extracellular protein invasion associated protein Iap [p60 (VF0068)] [Listeria monocytogenes EGD-e]"
"145","SRR27013315_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","inlK","100","89.18","NP_464815","(inlK) internalin K [InlK (VF0439)] [Listeria monocytogenes EGD-e]"
"146","SRR27013315_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","oatA","100","93.48","NP_464816","(oatA) peptidoglycan O-acetyltransferase [OatA (VF0441)] [Listeria monocytogenes EGD-e]"
"147","SRR27013315_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","pdgA","100","97","NP_463944","(pdgA) Peptidoglycan N-deacetylase [PgdA (VF0442)] [Listeria monocytogenes EGD-e]"
"148","SRR27013315_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","lapB","100","93.34","NP_465191","(lapB) Listeria adhesion protein LapB [LapB (VF0446)] [Listeria monocytogenes EGD-e]"
"149","SRR27013315_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","hpt","100","97.98","NP_464364","(hpt) hexose phosphate transport protein [Hpt (VF0264)] [Listeria monocytogenes EGD-e]"
"150","SRR27013315_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","lplA1","100","92.77","NP_464456","(lplA1) lipoate protein ligase [LplA1 (VF0347)] [Listeria monocytogenes EGD-e]"
"151","SRR27013315_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","clpE","99.72","93.56","NP_464522","(clpE) ATP-dependent protease [ClpE (VF0073)] [Listeria monocytogenes EGD-e]"
"152","SRR27013315_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","plcB","99.89","95.51","NP_463736","(plcB) phospholipase C [PlcB (VF0067)] [Listeria monocytogenes EGD-e]"
"153","SRR27013315_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","actA","99.9","94.16","NP_463735","(actA) actin-assembly inducing protein precursor [ActA (VF0066)] [Listeria monocytogenes EGD-e]"
"154","SRR27013315_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","mpl","100","94.85","NP_463734","(mpl) Zinc metalloproteinase precursor [Mpl (VF0065)] [Listeria monocytogenes EGD-e]"
"155","SRR27013315_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","lntA","100","95.95","NP_463967","(lntA) listeria nuclear targeted protein A [LntA (VF0440)] [Listeria monocytogenes EGD-e]"
"156","SRR27013315_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","inlB","99.89","92.44","NP_463963","(inlB) Internalin B [InlB (VF0070)] [Listeria monocytogenes EGD-e]"
"157","SRR27013315_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","inlA","99.63","96.09","NP_463962","(inlA) Internalin A [InlA (VF0069)] [Listeria monocytogenes EGD-e]"
"158","SRR27013315_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","gtcA","81.05","80.78","NP_466072","(gtcA) wall teichoic acid glycosylation protein GtcA [GtcA (VF0448)] [Listeria monocytogenes EGD-e]"
"159","SRR27013315_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","inlC","100","97.08","NP_465311","(inlC) internalin C [InlC (VF0438)] [Listeria monocytogenes EGD-e]"
"160","SRR27013315_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","lpeA","100","96.68","NP_465372","(lpeA) lipoprotein promoting cell invasion [LpeA (VF0346)] [Listeria monocytogenes EGD-e]"
"161","SRR27013315_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","lspA","100","97.63","NP_465369","(lspA) signal peptidase II [Lsp (VF0351)] [Listeria monocytogenes EGD-e]"
"162","SRR27013315_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","fbpA","100","91.65","NP_465354","(fbpA) fibronectin-binding protein [FbpA (VF0349)] [Listeria monocytogenes EGD-e]"
"163","SRR27013315_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","vip","100","85.36","NP_463850","(vip) surface adhesin Vip [Vip (VF0443)] [Listeria monocytogenes EGD-e]"
"164","SRR27013315_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","hly","100","97.23","NP_463733","(hly) listeriolysin O precursor [LLO (VF0064)] [Listeria monocytogenes EGD-e]"
"165","SRR27013315_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","plcA","100","97.48","NP_463732","(plcA) phosphatidylinositol-specific phospholipase c [PlcA (VF0063)] [Listeria monocytogenes EGD-e]"
"166","SRR27013315_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","prfA","100","97.48","NP_463731","(prfA) listeriolysin positive regulatory protein [PrfA (VF0062)] [Listeria monocytogenes EGD-e]"
"167","SRR27013315_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","prsA2","100","96.26","NP_465743","(prsA2) post translocation chaperone PrsA2 [PrsA2 (VF0449)] [Listeria monocytogenes EGD-e]"
"168","SRR27013315_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","llsY","100","96.3","AHK25021","(llsY) LlsY [LLS (VF0410)] [Listeria innocua SLCC6294]"
"169","SRR27013315_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","llsD","100","98.1","AHK25022","(llsD) streptolysin-associated protein LlsD [LLS (VF0410)] [Listeria innocua SLCC6294]"
"170","SRR27013315_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","llsG","99.77","97.29","AHK25017","(llsG) ABC transporter ATP-binding protein LlsG [LLS (VF0410)] [Listeria innocua SLCC6294]"
"171","SRR27013315_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","llsH","100","97.6","AHK25018","(llsH) ABC transporter permease protein LlsH [LLS (VF0410)] [Listeria innocua SLCC6294]"
"172","SRR27013315_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","llsX","100","97.48","AHK25019","(llsX) LlsX [LLS (VF0410)] [Listeria innocua SLCC6294]"
"173","SRR27013315_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","clpP","100","96.82","NP_465991","(clpP) ATP-dependent Clp protease proteolytic subunit [ClpP (VF0074)] [Listeria monocytogenes EGD-e]"
"174","SRR27013315_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","llsA","100","98","AHK25016","(llsA) listeriolysin S [LLS (VF0410)] [Listeria innocua SLCC6294]"
"175","SRR27013315_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","lap","100","97.08","NP_465159","(lap) Listeria adhesion protein Lap [Lap (VF0444)] [Listeria monocytogenes EGD-e]"
"176","SRR27013316_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","lap","100","97.08","NP_465159","(lap) Listeria adhesion protein Lap [Lap (VF0444)] [Listeria monocytogenes EGD-e]"
"177","SRR27013316_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","prsA2","100","96.26","NP_465743","(prsA2) post translocation chaperone PrsA2 [PrsA2 (VF0449)] [Listeria monocytogenes EGD-e]"
"178","SRR27013316_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","clpC","100","94.28","NP_463763","(clpC) endopeptidase Clp ATP-binding chain C [ClpC (VF0072)] [Listeria monocytogenes EGD-e]"
"179","SRR27013316_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","clpE","99.72","93.56","NP_464522","(clpE) ATP-dependent protease [ClpE (VF0073)] [Listeria monocytogenes EGD-e]"
"180","SRR27013316_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","lapB","100","93.34","NP_465191","(lapB) Listeria adhesion protein LapB [LapB (VF0446)] [Listeria monocytogenes EGD-e]"
"181","SRR27013316_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","inlA","99.63","96.09","NP_463962","(inlA) Internalin A [InlA (VF0069)] [Listeria monocytogenes EGD-e]"
"182","SRR27013316_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","inlB","99.89","92.44","NP_463963","(inlB) Internalin B [InlB (VF0070)] [Listeria monocytogenes EGD-e]"
"183","SRR27013316_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","lntA","100","95.95","NP_463967","(lntA) listeria nuclear targeted protein A [LntA (VF0440)] [Listeria monocytogenes EGD-e]"
"184","SRR27013316_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","llsA","100","98","AHK25016","(llsA) listeriolysin S [LLS (VF0410)] [Listeria innocua SLCC6294]"
"185","SRR27013316_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","llsG","100","97.3","AHK25017","(llsG) ABC transporter ATP-binding protein LlsG [LLS (VF0410)] [Listeria innocua SLCC6294]"
"186","SRR27013316_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","llsH","100","97.6","AHK25018","(llsH) ABC transporter permease protein LlsH [LLS (VF0410)] [Listeria innocua SLCC6294]"
"187","SRR27013316_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","llsX","100","97.48","AHK25019","(llsX) LlsX [LLS (VF0410)] [Listeria innocua SLCC6294]"
"188","SRR27013316_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","llsB","96.58","96.69","AHK25020","(llsB) SagB family dehydrogenase LlsB [LLS (VF0410)] [Listeria innocua SLCC6294]"
"189","SRR27013316_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","inlC","100","97.08","NP_465311","(inlC) internalin C [InlC (VF0438)] [Listeria monocytogenes EGD-e]"
"190","SRR27013316_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","fbpA","100","91.65","NP_465354","(fbpA) fibronectin-binding protein [FbpA (VF0349)] [Listeria monocytogenes EGD-e]"
"191","SRR27013316_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","lspA","100","97.63","NP_465369","(lspA) signal peptidase II [Lsp (VF0351)] [Listeria monocytogenes EGD-e]"
"192","SRR27013316_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","lpeA","100","96.68","NP_465372","(lpeA) lipoprotein promoting cell invasion [LpeA (VF0346)] [Listeria monocytogenes EGD-e]"
"193","SRR27013316_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","inlK","100","89.18","NP_464815","(inlK) internalin K [InlK (VF0439)] [Listeria monocytogenes EGD-e]"
"194","SRR27013316_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","oatA","100","93.48","NP_464816","(oatA) peptidoglycan O-acetyltransferase [OatA (VF0441)] [Listeria monocytogenes EGD-e]"
"195","SRR27013316_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","llsD","85.08","97.67","AHK25022","(llsD) streptolysin-associated protein LlsD [LLS (VF0410)] [Listeria innocua SLCC6294]"
"196","SRR27013316_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","bsh","100","97.55","NP_465591","(bsh) bile salt hydrolase [BSH (VF0350)] [Listeria monocytogenes EGD-e]"
"197","SRR27013316_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","iap/cwhA","97.1","94.42","NP_464110","(iap/cwhA) P60 extracellular protein invasion associated protein Iap [p60 (VF0068)] [Listeria monocytogenes EGD-e]"
"198","SRR27013316_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","prfA","100","97.48","NP_463731","(prfA) listeriolysin positive regulatory protein [PrfA (VF0062)] [Listeria monocytogenes EGD-e]"
"199","SRR27013316_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","plcA","100","97.48","NP_463732","(plcA) phosphatidylinositol-specific phospholipase c [PlcA (VF0063)] [Listeria monocytogenes EGD-e]"
"200","SRR27013316_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","hly","100","97.23","NP_463733","(hly) listeriolysin O precursor [LLO (VF0064)] [Listeria monocytogenes EGD-e]"
"201","SRR27013316_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","mpl","100","94.85","NP_463734","(mpl) Zinc metalloproteinase precursor [Mpl (VF0065)] [Listeria monocytogenes EGD-e]"
"202","SRR27013316_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","actA","99.9","94.16","NP_463735","(actA) actin-assembly inducing protein precursor [ActA (VF0066)] [Listeria monocytogenes EGD-e]"
"203","SRR27013316_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","plcB","99.89","95.51","NP_463736","(plcB) phospholipase C [PlcB (VF0067)] [Listeria monocytogenes EGD-e]"
"204","SRR27013316_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","gtcA","99.54","80.68","NP_466072","(gtcA) wall teichoic acid glycosylation protein GtcA [GtcA (VF0448)] [Listeria monocytogenes EGD-e]"
"205","SRR27013316_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","clpP","100","96.82","NP_465991","(clpP) ATP-dependent Clp protease proteolytic subunit [ClpP (VF0074)] [Listeria monocytogenes EGD-e]"
"206","SRR27013316_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","hpt","100","97.98","NP_464364","(hpt) hexose phosphate transport protein [Hpt (VF0264)] [Listeria monocytogenes EGD-e]"
"207","SRR27013316_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","lplA1","100","92.77","NP_464456","(lplA1) lipoate protein ligase [LplA1 (VF0347)] [Listeria monocytogenes EGD-e]"
"208","SRR27013316_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","pdgA","100","97","NP_463944","(pdgA) Peptidoglycan N-deacetylase [PgdA (VF0442)] [Listeria monocytogenes EGD-e]"
"209","SRR27013316_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","inlF","99.96","80.95","NP_463939","(inlF) internalin F [InlF (VF0447)] [Listeria monocytogenes EGD-e]"
"210","SRR27013316_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","vip","100","85.36","NP_463850","(vip) surface adhesin Vip [Vip (VF0443)] [Listeria monocytogenes EGD-e]"
"211","SRR27013325_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","clpC","100","94.28","NP_463763","(clpC) endopeptidase Clp ATP-binding chain C [ClpC (VF0072)] [Listeria monocytogenes EGD-e]"
"212","SRR27013325_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","iap/cwhA","97.1","94.42","NP_464110","(iap/cwhA) P60 extracellular protein invasion associated protein Iap [p60 (VF0068)] [Listeria monocytogenes EGD-e]"
"213","SRR27013325_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","vip","100","85.36","NP_463850","(vip) surface adhesin Vip [Vip (VF0443)] [Listeria monocytogenes EGD-e]"
"214","SRR27013325_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","inlF","99.96","80.95","NP_463939","(inlF) internalin F [InlF (VF0447)] [Listeria monocytogenes EGD-e]"
"215","SRR27013325_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","pdgA","100","97","NP_463944","(pdgA) Peptidoglycan N-deacetylase [PgdA (VF0442)] [Listeria monocytogenes EGD-e]"
"216","SRR27013325_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","lapB","100","93.34","NP_465191","(lapB) Listeria adhesion protein LapB [LapB (VF0446)] [Listeria monocytogenes EGD-e]"
"217","SRR27013325_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","plcB","99.89","95.51","NP_463736","(plcB) phospholipase C [PlcB (VF0067)] [Listeria monocytogenes EGD-e]"
"218","SRR27013325_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","actA","99.9","94.16","NP_463735","(actA) actin-assembly inducing protein precursor [ActA (VF0066)] [Listeria monocytogenes EGD-e]"
"219","SRR27013325_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","mpl","100","94.85","NP_463734","(mpl) Zinc metalloproteinase precursor [Mpl (VF0065)] [Listeria monocytogenes EGD-e]"
"220","SRR27013325_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","hly","100","97.23","NP_463733","(hly) listeriolysin O precursor [LLO (VF0064)] [Listeria monocytogenes EGD-e]"
"221","SRR27013325_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","plcA","100","97.48","NP_463732","(plcA) phosphatidylinositol-specific phospholipase c [PlcA (VF0063)] [Listeria monocytogenes EGD-e]"
"222","SRR27013325_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","prfA","100","97.48","NP_463731","(prfA) listeriolysin positive regulatory protein [PrfA (VF0062)] [Listeria monocytogenes EGD-e]"
"223","SRR27013325_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","llsA","100","98","AHK25016","(llsA) listeriolysin S [LLS (VF0410)] [Listeria innocua SLCC6294]"
"224","SRR27013325_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","llsG","100","97.19","AHK25017","(llsG) ABC transporter ATP-binding protein LlsG [LLS (VF0410)] [Listeria innocua SLCC6294]"
"225","SRR27013325_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","llsH","100","97.6","AHK25018","(llsH) ABC transporter permease protein LlsH [LLS (VF0410)] [Listeria innocua SLCC6294]"
"226","SRR27013325_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","llsX","100","97.48","AHK25019","(llsX) LlsX [LLS (VF0410)] [Listeria innocua SLCC6294]"
"227","SRR27013325_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","lntA","100","95.95","NP_463967","(lntA) listeria nuclear targeted protein A [LntA (VF0440)] [Listeria monocytogenes EGD-e]"
"228","SRR27013325_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","inlB","99.89","92.44","NP_463963","(inlB) Internalin B [InlB (VF0070)] [Listeria monocytogenes EGD-e]"
"229","SRR27013325_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","inlA","99.63","96.09","NP_463962","(inlA) Internalin A [InlA (VF0069)] [Listeria monocytogenes EGD-e]"
"230","SRR27013325_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","lpeA","100","96.68","NP_465372","(lpeA) lipoprotein promoting cell invasion [LpeA (VF0346)] [Listeria monocytogenes EGD-e]"
"231","SRR27013325_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","lspA","100","97.63","NP_465369","(lspA) signal peptidase II [Lsp (VF0351)] [Listeria monocytogenes EGD-e]"
"232","SRR27013325_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","fbpA","100","91.65","NP_465354","(fbpA) fibronectin-binding protein [FbpA (VF0349)] [Listeria monocytogenes EGD-e]"
"233","SRR27013325_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","inlC","100","97.08","NP_465311","(inlC) internalin C [InlC (VF0438)] [Listeria monocytogenes EGD-e]"
"234","SRR27013325_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","llsY","100","96.3","AHK25021","(llsY) LlsY [LLS (VF0410)] [Listeria innocua SLCC6294]"
"235","SRR27013325_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","llsD","100","98.1","AHK25022","(llsD) streptolysin-associated protein LlsD [LLS (VF0410)] [Listeria innocua SLCC6294]"
"236","SRR27013325_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","hpt","100","97.98","NP_464364","(hpt) hexose phosphate transport protein [Hpt (VF0264)] [Listeria monocytogenes EGD-e]"
"237","SRR27013325_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","lplA1","100","92.77","NP_464456","(lplA1) lipoate protein ligase [LplA1 (VF0347)] [Listeria monocytogenes EGD-e]"
"238","SRR27013325_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","clpE","99.72","93.56","NP_464522","(clpE) ATP-dependent protease [ClpE (VF0073)] [Listeria monocytogenes EGD-e]"
"239","SRR27013325_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","lap","100","97.08","NP_465159","(lap) Listeria adhesion protein Lap [Lap (VF0444)] [Listeria monocytogenes EGD-e]"
"240","SRR27013325_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","gtcA","99.54","80.68","NP_466072","(gtcA) wall teichoic acid glycosylation protein GtcA [GtcA (VF0448)] [Listeria monocytogenes EGD-e]"
"241","SRR27013325_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","clpP","100","96.82","NP_465991","(clpP) ATP-dependent Clp protease proteolytic subunit [ClpP (VF0074)] [Listeria monocytogenes EGD-e]"
"242","SRR27013325_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","bsh","100","97.55","NP_465591","(bsh) bile salt hydrolase [BSH (VF0350)] [Listeria monocytogenes EGD-e]"
"243","SRR27013325_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","oatA","100","93.48","NP_464816","(oatA) peptidoglycan O-acetyltransferase [OatA (VF0441)] [Listeria monocytogenes EGD-e]"
"244","SRR27013325_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","inlK","87.59","89.05","NP_464815","(inlK) internalin K [InlK (VF0439)] [Listeria monocytogenes EGD-e]"
"245","SRR27013325_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","prsA2","100","96.26","NP_465743","(prsA2) post translocation chaperone PrsA2 [PrsA2 (VF0449)] [Listeria monocytogenes EGD-e]"
"246","SRR27013326_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","lap","100","97.08","NP_465159","(lap) Listeria adhesion protein Lap [Lap (VF0444)] [Listeria monocytogenes EGD-e]"
"247","SRR27013326_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","bsh","100","97.55","NP_465591","(bsh) bile salt hydrolase [BSH (VF0350)] [Listeria monocytogenes EGD-e]"
"248","SRR27013326_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","clpC","100","94.28","NP_463763","(clpC) endopeptidase Clp ATP-binding chain C [ClpC (VF0072)] [Listeria monocytogenes EGD-e]"
"249","SRR27013326_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","lapB","100","93.34","NP_465191","(lapB) Listeria adhesion protein LapB [LapB (VF0446)] [Listeria monocytogenes EGD-e]"
"250","SRR27013326_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","vip","100","85.36","NP_463850","(vip) surface adhesin Vip [Vip (VF0443)] [Listeria monocytogenes EGD-e]"
"251","SRR27013326_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","inlC","100","97.08","NP_465311","(inlC) internalin C [InlC (VF0438)] [Listeria monocytogenes EGD-e]"
"252","SRR27013326_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","fbpA","100","91.65","NP_465354","(fbpA) fibronectin-binding protein [FbpA (VF0349)] [Listeria monocytogenes EGD-e]"
"253","SRR27013326_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","lspA","100","97.63","NP_465369","(lspA) signal peptidase II [Lsp (VF0351)] [Listeria monocytogenes EGD-e]"
"254","SRR27013326_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","lpeA","100","96.68","NP_465372","(lpeA) lipoprotein promoting cell invasion [LpeA (VF0346)] [Listeria monocytogenes EGD-e]"
"255","SRR27013326_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","llsY","100","96.3","AHK25021","(llsY) LlsY [LLS (VF0410)] [Listeria innocua SLCC6294]"
"256","SRR27013326_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","llsD","100","98.1","AHK25022","(llsD) streptolysin-associated protein LlsD [LLS (VF0410)] [Listeria innocua SLCC6294]"
